vaccination_site,count
ESCOLA MUNICIPAL ERIC VICENTE,21
CRECHE NOSSA SENHORA DO CARMO,20
UBS ARMANDO MENDES,20
ESCOLA MUNICIPAL MADRE TERESA DE CALCUTÁ,19
UBS SÃO VICENTE DE PAULO,18
LAB. PROF. MANOEL BASTOS LIRA,18
ESCOLA MUNICIPAL POETA CABRAL DE MELO NETO,18
USF VICENTE PALLOTTI,17
USF SAO FRANCISCO,17
CEMEI ISMAIL AZIZ,17
CONSELHO COMUNITÁRIO DO SÃO JOSE II,17
IGREJA BATISTA SHALOM,16
UBS FÁTIMA ANDRADE,14
USF SANTA LUZIA,12
PARQUE DAS TRIBOS,11
USF CLINICA DA FAMILIA DR ANTONIO REIS,11
ESCOLA MUNICIPAL SÃO BENEDITO,10
POLICLINICA JOSÉ ANTONIO SILVA - PMO,10
CMPM VI SENADOR EVANDRO DAS NEVES CARREIRA,10
IGREJA DO SAGRADO CORAÇÃO DE JESUS,10
UBS LUCIO FLAVIO DE VASCONCELOS DIAS,9
POLICLINICA ENF. ANNA BARRETO,9
IGREJA CATÓLICA MÃE DOS POBRES,9
FAIC FRATERNIDADE AMIGOS IRMÃOS DA CARIDADE,9
PROJETO SOCIAL LAR DA MARIAZINHA,8
USF O 48,7
UNIDADE PRISIONAL CDPM 1,6
USF JAPIIM,5
USF FRANK ROSEMBERG CALDERON,3
USF PETROPOLIS,2
HOSPITAL GERALDO DA ROCHA,2
USF O 47,1
